,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196301,13.0152,11.4404,10.1911,10.7539,11.0196,7.6242,5.7244,7.3924,8.3103,11.0698,6.1895,5.8484,4.716,8.8928,9.3784,5.0458,5.2512,5.9579,9.7425,6.3151,5.219,4.1916,3.3511,6.5635,6.4035
196302,-3.2371,-3.5024,-0.827,-0.6905,2.5377,-4.0231,-1.8352,-2.3278,-1.6747,-0.2663,-3.6106,-1.5013,-0.7424,-2.5465,0.9648,-3.0539,-1.4046,-0.9892,-1.0264,-0.5901,-3.2332,-1.7329,-2.0126,-1.3809,-0.9535
196303,4.9786,-1.4704,-0.6196,1.3176,2.5547,-0.1524,1.1248,1.2521,3.0453,1.6457,-0.1765,1.637,1.1934,3.5785,1.5537,2.1435,1.8115,2.6368,3.6973,3.7315,3.6701,3.0132,4.4216,4.7314,5.6325
196304,4.7964,1.5002,2.1736,3.251,2.8403,2.334,5.2191,1.0605,4.333,6.2809,3.7704,3.7297,2.8224,3.262,4.969,3.9347,3.325,5.1712,7.3274,4.4496,4.8688,4.1318,5.9964,4.0817,8.0043
196305,3.389,1.6902,3.1863,3.7437,7.4758,2.0933,2.8257,0.7459,5.0012,4.9004,2.339,2.1327,2.497,5.171,5.8997,1.6207,1.7291,1.7452,4.2812,3.6913,3.1937,-0.3577,1.9062,2.3181,4.3217
196306,3.7773,-1.1789,-1.5049,-2.5419,-0.8731,-0.0161,-1.6655,-1.8727,-1.9466,-2.0696,-1.2152,-0.7883,-2.1968,-2.9017,-0.9335,-1.3807,-1.3464,-2.5733,-2.8212,1.2615,-3.2082,-0.9898,-0.6741,-2.0554,0.3622
196307,1.1287,-0.3632,0.7223,-0.0413,-1.2447,-1.8076,0.1929,-1.0149,-1.9749,-1.188,-2.3527,-1.3247,-0.7383,-2.1329,-1.7526,-0.9115,-1.7733,-1.9168,-1.5745,-1.8574,0.1391,0.4839,1.136,-0.4285,-1.1045
196308,4.2396,1.373,1.4917,2.5068,4.6644,5.5703,4.522,4.445,4.4662,8.2451,5.0879,5.3055,5.3831,4.8413,5.1562,5.5754,4.7469,6.2516,7.6941,5.3456,5.7823,4.2633,4.6341,8.1704,6.3984
196309,-1.7343,0.6204,-1.0007,-1.5215,-0.3584,-4.0525,-1.5072,-0.8638,-1.4935,-2.9243,-4.3315,-1.799,-0.3303,-0.9741,-1.8327,-2.6644,-2.1463,-1.7882,-3.9641,-2.0002,-1.3752,-0.8081,-0.8497,-0.1912,-3.5033
196310,0.3778,-0.7329,1.3066,0.1904,2.3711,1.1926,4.2411,2.3526,2.3058,3.9314,2.3951,0.423,2.7461,2.5239,1.0696,-0.2415,0.699,2.5214,4.8524,0.6138,5.3261,1.742,-0.3354,2.4176,0.4702
196311,-3.3319,-3.8436,-1.7893,-1.0535,-1.1077,-4.2596,-1.7484,-0.7845,-0.0554,-0.115,-2.9957,-1.3781,-1.0492,-0.8066,-1.2163,-0.9083,-0.6311,-0.7516,1.3596,3.5407,-1.2669,1.008,-1.6914,-2.1316,1.3496
196312,-2.3435,-0.9565,-0.9366,-1.6555,-0.9997,-0.8693,-0.7582,1.0284,0.8358,0.113,0.2946,1.6992,1.3412,1.5966,0.4638,-0.1562,1.2207,1.7398,3.2888,6.1681,2.6568,2.3223,2.1885,2.5147,2.1354
196401,3.8925,2.8728,4.222,4.0493,4.9503,-2.029,-0.4915,3.6368,1.5616,4.1813,0.0993,0.5507,2.7314,3.8647,3.2166,-0.4314,1.8531,1.2448,3.6021,3.3329,3.0631,3.1961,1.6725,2.0134,1.6236
196402,2.8826,2.819,2.3024,0.3336,4.4744,1.6198,1.7294,2.6131,2.1453,6.1043,0.1236,3.026,1.6322,3.7531,4.014,2.5943,1.5619,2.8444,7.2047,4.6121,1.8271,0.5232,1.0194,3.9989,3.7567
196403,0.4753,1.4861,2.0712,3.7018,2.5228,2.3518,3.2064,3.3567,5.6606,6.1622,-0.8109,2.9838,4.3441,5.5647,6.7719,1.775,2.9767,5.2497,7.1287,0.7247,1.1575,0.7635,3.6237,3.8382,0.1491
196404,-1.5767,2.6118,-0.4566,-0.9186,-0.753,-0.9122,-3.8847,0.757,-1.6687,-0.6575,-2.0805,-1.2453,0.2874,-0.7634,-1.0248,-2.7045,0.3434,1.9784,-2.6384,-2.2805,0.2272,1.4745,0.8082,-0.9054,2.4147
196405,-1.239,-1.2253,0.425,0.4818,1.358,3.1443,0.4096,2.9789,1.8462,3.7408,-0.4707,1.6949,-0.254,1.9709,2.4943,1.1914,2.2992,1.3559,1.3281,4.099,2.0599,0.3304,1.1776,4.2859,3.3968
196406,1.9444,0.4278,1.2084,0.8025,1.1335,0.8851,1.6658,1.8667,1.1354,2.2155,0.8905,2.1595,2.2361,2.5761,1.2487,1.0927,1.4771,1.1035,2.4965,3.1119,0.9744,2.8644,0.4437,1.3682,2.4217
196407,1.1367,3.6022,4.1156,2.5984,4.731,0.8709,2.0631,3.9801,2.8795,2.4535,2.8097,2.6283,3.0991,3.1914,1.2372,1.5586,3.3062,1.6201,1.7744,3.5825,2.5598,0.6934,3.8954,1.8783,0.9931
196408,1.6973,-2.5518,-1.7484,-0.8049,-0.4831,-1.8159,-2.2378,-1.2322,0.3431,-1.866,-2.7851,-0.425,0.1867,-0.1132,-2.2609,-1.0822,0.1083,0.9632,-0.0139,-1.1736,-1.2739,-1.5604,-0.0792,-0.8964,-2.903
196409,5.4362,2.9791,6.2309,2.768,3.9217,3.3507,2.7652,2.2302,2.1863,4.7087,1.7622,2.0533,3.431,3.0761,3.7501,3.13,3.3262,4.1421,4.6636,4.2656,3.0865,1.347,4.283,4.5121,6.8538
196410,1.8991,0.0905,5.1491,1.9336,3.3329,-1.3436,1.21,2.6037,1.2235,1.3573,3.2119,3.489,1.9459,1.1581,2.7149,0.9305,1.2955,1.2825,3.2659,3.7565,0.3221,1.0902,0.5699,0.5297,3.2922
196411,-0.3007,-0.1509,0.8917,0.6823,0.5298,-0.967,0.1674,-0.1973,-0.6529,-1.767,1.6126,0.6029,0.1006,0.4017,-0.0585,0.6553,1.6438,-1.0152,-0.8372,-4.7187,1.0217,-0.3673,1.6422,-1.286,-4.6842
196412,-1.4726,-1.2379,-3.125,-2.6798,-1.7928,1.4489,-0.1486,1.1892,-2.4864,-0.9464,0.116,0.588,-0.2675,-1.6849,-0.6796,1.4114,0.0102,-1.5027,-0.955,-1.3266,0.799,1.4209,-0.9509,-1.0688,-1.3383
196501,8.4566,6.3573,6.8733,6.6762,8.7568,7.8749,5.4662,5.9236,5.7124,6.1785,5.2074,6.2046,5.1133,5.9609,7.056,5.5263,4.2867,5.1409,5.1165,6.8218,4.7202,1.2522,2.8229,3.5354,3.6001
196502,1.8638,0.5099,2.5255,3.1923,3.6524,3.3795,4.2289,3.7383,3.4098,3.5904,3.899,4.4372,4.7925,3.2175,3.201,1.3902,3.4228,3.9336,3.2034,1.6802,0.1858,-0.0448,-0.126,-0.5377,-1.1935
196503,1.6576,2.3232,1.2665,2.5785,3.1914,2.0961,-1.9294,1.3979,1.8887,0.5794,-0.2907,-0.056,-0.3211,1.3299,0.6378,-0.7985,-0.3232,-0.291,0.4349,1.8183,-1.3236,-1.58,-1.8043,-0.7165,0.3403
196504,4.0673,4.4129,4.789,4.444,4.5886,0.1559,5.0305,3.9249,4.7086,5.0312,2.805,3.1203,3.8598,3.7242,6.8019,2.6191,3.1943,4.6285,4.3921,2.1567,4.5863,1.8738,2.1667,2.2064,4.4499
196505,-0.4546,-2.5956,-1.2927,-0.7798,-1.2123,1.0537,-0.7392,-1.1564,0.0841,-2.1204,-0.5779,0.2504,-1.0293,-0.8671,-0.5873,-0.9651,0.033,-1.109,-0.3676,-3.3714,-0.7544,0.8302,-0.0849,-0.3611,-3.571
196506,-12.5886,-10.4413,-9.3609,-7.9296,-9.5699,-10.3567,-8.6131,-8.9828,-8.3897,-8.2995,-6.6323,-9.221,-8.5172,-8.5307,-8.4334,-6.3568,-6.9768,-7.9386,-8.6779,-8.4349,-4.4306,-3.6674,-4.9365,-3.8056,-5.4788
196507,2.4078,3.4728,3.6533,2.2033,4.1972,3.7755,1.6587,2.9237,3.4788,4.507,1.526,4.6267,2.5895,4.36,4.6866,2.6035,3.1714,3.8986,2.6544,6.25,1.5235,-0.0021,1.9197,4.0881,4.8277
196508,2.5036,5.4354,5.1565,3.9579,4.0133,7.2991,4.236,4.9247,4.9206,3.943,8.1068,4.5658,7.7512,3.2518,6.5499,3.8079,4.1756,5.3024,2.9982,4.8752,3.2645,1.2951,3.4395,1.1267,2.1812
196509,3.4711,5.9272,1.2744,3.9987,3.3711,5.8317,3.7915,2.888,4.6113,2.6159,2.4531,3.1662,3.3162,5.205,4.5035,3.2993,4.1014,1.5628,2.9004,3.849,3.9289,2.3018,2.3766,3.5269,3.2283
196510,6.1584,8.9538,6.0563,5.6597,9.0633,4.0941,7.8656,3.7585,5.8202,5.2135,4.4,4.247,5.5875,5.7329,5.0437,4.058,3.3683,2.8771,4.4819,8.0786,3.1389,0.214,3.0547,4.4226,5.2216
196511,4.1546,6.7399,2.709,7.8663,6.4658,1.4154,5.0932,4.3201,5.2165,4.0522,3.3546,3.113,5.6965,2.5193,3.0572,3.6904,2.6667,3.6479,1.046,5.4682,-0.317,-1.8293,1.25,-1.2898,-2.321
196512,7.2363,6.7426,2.1385,3.8599,5.0485,3.762,3.7745,3.2259,3.3894,7.352,2.6402,0.9087,3.9506,1.9292,5.3729,1.2725,1.2499,1.5534,4.3269,5.3091,1.0117,-0.2235,1.3304,2.7994,2.7168
196601,5.5888,6.5774,8.1231,9.8046,9.6396,6.4439,6.4342,4.723,5.1276,5.7735,4.4461,2.402,2.899,4.7855,4.9564,0.9005,1.8775,5.2213,4.2516,6.1452,-0.3731,-0.571,1.6999,3.0533,3.1425
196602,6.9168,5.8021,1.8119,4.6709,6.3804,5.4916,4.6383,1.6488,0.0124,3.1869,-0.3911,1.468,4.6324,1.8809,4.6062,1.2811,-0.7462,0.4432,0.6104,2.5331,-1.3336,-2.3107,-1.7111,-1.9866,-1.7276
196603,1.8008,-1.5119,-2.5017,-0.7032,-1.4687,0.1861,-2.0139,-2.1464,-3.7719,-2.0337,-1.6297,-4.7628,-2.4127,-3.4279,-3.7947,0.2576,-1.4313,-3.5289,-2.392,-3.3844,-1.4716,-3.4561,-1.0578,-2.1435,-5.0627
196604,10.9554,4.592,5.4276,6.6304,4.5804,2.3984,4.7767,4.0094,7.4753,8.793,3.6962,3.7713,3.524,4.4857,2.579,3.9267,2.7198,3.5747,4.8264,0.7506,2.1104,1.9995,1.1745,2.4066,1.7925
196605,-12.2067,-13.2138,-10.3359,-10.7227,-11.9299,-9.9576,-9.8088,-8.6524,-10.1298,-8.7554,-5.9453,-6.702,-8.2073,-10.1367,-9.8208,-5.0461,-5.1202,-7.0224,-8.8191,-10.2388,-4.1961,-3.9492,-4.8671,-5.5203,-5.4763
196606,-0.7871,-0.0993,1.304,1.4033,0.3527,1.6748,0.0857,-0.0701,-0.6895,0.2511,0.2261,-0.1732,2.5697,-0.5368,-0.4405,-0.7918,-0.3272,-0.1245,3.3373,1.0483,-2.0006,-1.4866,-0.6161,0.8536,-1.1969
196607,-2.1032,-1.7997,-2.3088,-0.0202,-0.9453,-3.1673,-1.846,-0.928,-1.7068,-1.4297,-0.9747,-2.0339,-0.8141,-0.6898,-1.3433,-0.661,-1.6477,-2.0213,-2.6307,-2.2452,-1.702,-1.4411,-0.7537,0.911,-1.3269
196608,-12.2104,-10.397,-9.6701,-10.849,-10.4568,-12.7777,-10.5328,-9.7589,-9.6476,-10.9356,-10.7381,-8.4801,-7.9961,-10.1106,-8.6739,-9.8003,-7.5371,-8.1146,-7.3003,-9.2326,-7.2449,-8.7255,-5.6384,-6.223,-7.9877
196609,-1.9817,-2.062,-1.8683,-1.7764,-1.1657,-1.8287,1.203,-1.7186,-1.588,-2.1096,-2.2966,-4.4915,0.2583,-0.3268,-1.2485,-1.1204,0.0382,-0.7889,-3.2196,-0.6264,-1.2528,0.8891,0.4628,0.2686,-1.6183
196610,-7.8591,-4.8369,-4.2385,-1.4753,-1.4922,-5.3646,-0.6718,-0.7818,0.0677,-0.2629,-1.6118,1.106,3.5969,4.9868,1.7226,0.5499,4.782,4.1657,2.9452,1.748,3.1154,5.1755,9.1682,6.2771,6.5122
196611,8.1459,4.1886,4.5572,2.5215,3.5416,7.5078,2.9799,7.2768,1.6878,2.5243,9.2015,6.0432,1.6711,4.4247,-0.037,8.5828,1.6945,0.7783,3.0085,0.7817,3.5384,2.1824,-2.4325,-1.4548,-1.0891
196612,3.8379,2.7889,2.1336,1.3139,0.2148,4.751,3.1411,1.4104,2.0928,0.7712,2.7632,3.1471,0.9474,3.12,0.2618,3.1387,2.4944,1.187,3.6508,1.8842,-0.8373,-0.0127,1.4666,-0.1389,-0.1215
196701,20.8249,19.2939,18.5972,21.4892,17.3462,16.9774,16.4842,17.138,17.6439,20.055,16.8191,14.2409,12.1173,13.2388,14.3651,9.9035,6.6748,9.8469,12.2909,13.7015,7.6997,7.1831,4.9614,7.8576,13.7838
196702,6.8539,5.8677,5.5448,3.9323,5.8736,3.2421,3.0709,1.0597,3.4256,1.6576,2.1038,2.3084,1.698,0.7522,0.7706,2.8367,-0.3785,-0.4312,1.6176,0.1531,2.2356,0.8056,-0.7755,-0.8887,-1.3391
196703,7.265,6.1798,5.0639,7.6196,5.1614,6.8694,6.1938,7.2286,6.6284,6.0732,5.3751,5.3474,4.6426,7.9994,4.214,6.1017,3.9292,5.1387,5.0811,6.4952,4.2397,3.1187,3.2691,4.6736,5.3115
196704,6.4365,3.6857,3.3576,4.4355,3.7043,3.1704,3.8446,5.5054,3.5668,3.5234,5.6639,3.5233,2.8114,5.5692,3.0238,6.7887,2.8576,4.0142,3.9254,2.871,6.8024,2.9931,0.1892,3.5482,1.7641
196705,-0.1496,0.7664,-0.4996,-0.8513,-0.8518,-1.2105,0.5428,-0.7792,-2.3289,-3.5352,-2.9685,-1.0964,-1.5066,-0.901,-1.9712,-2.1856,-0.4056,-2.7892,-0.1972,-0.771,-5.631,-4.297,-4.1858,-3.7382,-3.6835
196706,15.5457,10.9118,13.3081,12.4209,9.216,10.2446,6.8396,6.5128,8.2948,6.5575,5.3621,8.2709,4.1989,5.3784,3.4945,3.2188,2.2592,2.7572,7.4533,6.065,1.3881,0.475,1.721,2.9025,3.0948
196707,9.3809,9.3717,10.3914,7.6924,12.1451,7.1839,6.2895,9.2176,9.4178,8.2517,5.4488,4.7687,6.0697,7.4703,11.7093,4.8367,4.5374,5.2667,6.5877,8.7652,4.4319,5.7583,2.0438,5.8684,6.4509
196708,-0.9105,0.6062,0.6069,0.1403,2.0579,-0.9828,-1.2146,0.6273,0.4075,1.0333,-2.8563,0.9501,1.3767,1.2803,-0.634,-0.8283,-0.9224,-1.3018,1.7841,3.7925,-0.583,-1.1237,-1.3598,0.4516,1.3365
196709,11.3373,9.817,8.4227,7.5572,4.8273,4.9973,5.8018,7.5341,5.485,2.983,5.6493,2.0686,2.7547,4.5244,2.7422,3.7252,1.4565,2.6984,4.0773,0.4004,3.818,3.1332,3.2881,1.6304,0.2425
196710,1.7815,-4.1816,-1.4727,-1.4359,-2.5534,-1.5183,-1.9304,0.7154,-3.0215,-4.7523,-3.3172,-1.2368,-3.1167,-3.0659,-2.6936,-4.2879,-5.7861,-5.7036,-2.567,-5.3032,-0.3476,-3.9726,-2.725,-5.9243,-6.515
196711,-0.8694,3.8603,-0.8175,-1.5788,-1.1933,0.971,0.504,2.5794,-0.0194,0.3137,3.2374,-0.3063,0.7198,-0.3169,-0.8231,3.3359,0.5698,0.0569,0.5743,-0.6871,1.3039,0.4541,0.026,-0.5442,0.0532
196712,13.7257,10.5224,8.0018,9.3692,10.1846,11.9378,6.5235,9.552,6.9777,9.4371,7.6562,5.6436,5.421,5.1849,6.6196,1.3955,2.7665,4.1619,4.6703,3.7199,1.956,3.1177,2.177,5.6073,2.7903
196801,2.6007,2.1568,3.2586,3.2325,6.3782,-4.1794,-2.7015,0.067,1.2241,2.2682,-6.6526,-0.6312,-0.5653,-0.5234,3.1685,-7.9505,0.0825,-2.8779,0.0411,-0.4315,-6.3532,-5.7055,0.5894,-2.2886,-3.8571
196802,-10.1569,-6.9764,-5.6828,-6.8966,-5.9947,-7.0792,-5.7252,-8.8661,-3.2871,-5.5055,-6.7742,-4.0591,-3.0055,-2.1197,-4.6982,-5.2313,-3.6701,-2.7788,-5.2582,-3.8337,-2.9985,-2.3535,-2.0088,-3.264,-1.8563
196803,-1.4134,-0.0092,-0.4172,-2.0248,-0.1751,-0.8727,-1.5146,0.3368,-1.2749,-0.3787,1.9183,-0.9008,-1.9978,0.7392,-0.6145,0.5504,-0.2964,-1.5175,-0.2759,-0.2846,3.0749,-1.2893,-0.2775,-1.7889,2.0392
196804,21.1598,17.6666,16.8768,16.2134,15.6856,18.7902,13.1618,17.0565,11.9945,12.8907,15.8341,11.5382,8.3972,10.316,17.7512,12.7224,7.0681,8.874,12.3359,11.6621,10.787,7.2502,3.3895,9.4117,10.5192
196805,10.6841,12.4939,10.4181,11.7349,11.785,11.5477,7.876,8.1793,7.0047,6.5957,8.6403,4.1532,5.3535,5.1004,7.2106,4.5704,4.6613,2.744,2.6433,6.2119,2.2844,1.1089,-0.6814,-0.9919,4.6644
196806,-1.1392,0.2009,1.3294,2.2392,0.1515,-0.5909,1.5365,-1.701,1.4239,0.7737,-1.9658,2.9703,3.2719,1.6485,1.1137,0.0296,3.5036,3.6105,2.9723,-2.5735,-0.0805,0.8771,4.0258,3.1801,-1.5962
196807,-4.6785,-4.6179,-3.8531,-0.7399,0.6786,-8.9358,-2.9785,-2.0041,-0.4264,-0.2911,-5.6367,-4.6129,-3.209,-0.8789,-0.1904,-5.6575,-3.0737,-3.4854,-1.4997,-2.1249,-5.2083,-1.2634,2.9884,0.941,0.6401
196808,4.5468,5.936,4.8667,4.6539,4.9029,1.7289,2.9475,3.5669,1.1581,7.0534,2.9314,2.8595,2.6836,2.8088,4.962,1.6917,1.3506,1.7819,1.9707,2.9624,1.1962,0.3855,2.1903,1.6585,2.4588
